npcStationID,systemID,regionID,securityStatus,npcStationName
60000004,30002780,10000033,0.708087,Muvolailen X - Moon 3 - CBD Corporation Storage
60000007,30002779,10000033,0.794424,Ono V - Moon 9 - CBD Corporation Storage
60000010,30002776,10000033,0.80747,Annaro I - CBD Corporation Storage
60000013,30002779,10000033,0.794424,Ono V - Moon 2 - CBD Corporation Storage
60000016,30002778,10000033,0.830855,Tasabeshi VIII - Moon 13 - CBD Corporation Storage
60000019,30002778,10000033,0.830855,Tasabeshi VI - Moon 1 - CBD Corporation Storage
60000022,30002650,10000032,0.456755,Ney X - Moon 15 - CBD Corporation Storage
60000025,30002648,10000032,0.55178,Ardene VIII - Moon 5 - CBD Corporation Storage
60000028,30002654,10000032,0.4481,Schoorasana VI - Moon 1 - CBD Corporation Storage
60000031,30002654,10000032,0.4481,Schoorasana VI - Moon 6 - CBD Corporation Storage
60000034,30002648,10000032,0.55178,Ardene VI - Moon 12 - CBD Corporation Storage
60000037,30002650,10000032,0.456755,Ney X - Moon 12 - CBD Corporation Storage
60000040,30003393,10000042,0.779535,Eiluvodi VI - Moon 14 - CBD Corporation Storage
60000043,30003393,10000042,0.779535,Eiluvodi VIII - Moon 2 - CBD Corporation Storage
60000046,30003399,10000042,0.604578,Vorsk IV - Moon 1 - CBD Corporation Storage
60000049,30003397,10000042,0.911898,Bongveber IX - Moon 10 - CBD Corporation Storage
60000052,30003395,10000042,0.9051,Roleinn X - Moon 13 - CBD Corporation Storage
60000055,30003394,10000042,0.826576,Freatlidur IX - Moon 15 - CBD Corporation Storage
60000058,30003082,10000038,0.57282,Hatori X - Moon 12 - CBD Corporation Storage
60000061,30003084,10000038,0.474424,Malpara II - CBD Corporation Storage
60000064,30003082,10000038,0.57282,Hatori X - Moon 10 - CBD Corporation Storage
60000067,30003081,10000038,0.724134,Ronne I - Moon 1 - CBD Corporation Storage
60000070,30003082,10000038,0.57282,Hatori IX - Moon 8 - CBD Corporation Storage
60000073,30003083,10000038,0.809591,Junsen V - Moon 20 - CBD Corporation Storage
60000076,30002414,10000028,0.302147,Klingt VII - Moon 2 - CBD Corporation Storage
60000079,30002415,10000028,0.302036,Weld IV - Moon 14 - CBD Corporation Storage
60000082,30002414,10000028,0.302147,Klingt IV - Moon 1 - CBD Corporation Storage
60000085,30002420,10000028,0.034555,Egbinger XI - Moon 3 - CBD Corporation Storage
60000088,30002414,10000028,0.302147,Klingt V - CBD Corporation Storage
60000091,30002414,10000028,0.302147,Klingt IX - Moon 3 - CBD Corporation Storage
60000094,30003429,10000042,0.709046,Geffur VIII - Moon 10 - CBD Corporation Storage
60000097,30003432,10000042,0.58107,Lumegen V - Moon 2 - CBD Corporation Storage
60000100,30003430,10000042,0.671349,Oppold IX - Moon 6 - CBD Corporation Storage
60000103,30003432,10000042,0.58107,Lumegen I - CBD Corporation Storage
60000106,30003430,10000042,0.671349,Oppold IV - Moon 1 - CBD Corporation Storage
60000109,30003429,10000042,0.709046,Geffur VII - Moon 3 - CBD Corporation Storage
60000112,30005001,10000064,0.8,Arnon VIII - Moon 2 - CBD Corporation Storage
